Selection and PL reported in the same study,Author(s) of Selection study,Publication year,Journal,volume.and.pp,Family,Species,Trait type,Trait name in study,N.Diff.linear.value,Diff.linear.value,N.Grad.linear,Grad.linear.value,Author(s) of pollen limitation study,Publication year,Journal,volume.and.pp,Best PL,Statistically significant PL
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,floral size,corolla size,NA,NA,215,0.2,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.318965517,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,plant size,plant height,NA,NA,163,0.16,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.15210356,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,flower number,flower number,NA,NA,163,0.39,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.15210356,yes
Yes,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,Orchidaceae,Gymnadenia conopsea,floral size,corolla size,NA,NA,163,0.088,"Sletvold, Agren",2010,International Journal of Plant Sciences,171:999-1009,0.15210356,yes
Yes,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,Orchidaceae,Dactylorhiza lapponica,plant size,plant height,NA,NA,165,0.25,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,0.6,yes
Yes,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,Orchidaceae,Dactylorhiza lapponica,flower number,number of flowers,NA,NA,165,0.71,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,0.6,yes
Yes,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,Orchidaceae,Dactylorhiza lapponica,floral size,corolla size,NA,NA,165,-0.081,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,0.6,yes
Yes,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,Orchidaceae,Dactylorhiza lapponica,phenology,start of flowering,NA,NA,165,-0.071,"Sletvold, Grindeland, Agren",2010,New Phytologist,188:385-192,0.6,yes
Yes,Totland,2001,Ecology,82:2233-2244,Ranunculaceae,Ranunculus acris,phenology,flowering date,78,-0.36,78,-0.09,Totland,2001,Ecology,82:2233-2244,0.304878049,yes
Yes,Totland,2001,Ecology,82:2233-2245,Ranunculaceae,Ranunculus acris,flower number,flower number,78,0.87,78,0.78,Totland,2001,Ecology,82:2233-2245,0.304878049,yes
